Store,MAIN_BARCODE,RETAIL PRICE,MARKDOWN PERC,SELL PRICE,TOTAL DISCOUNT,WAC PER TRANSACTION,TransType,SOLD QTY,SALES AMOUNT W/O VAT,WAC AMOUNT PER TRANSACTION,MARGIN,NET_VALUE
125,193395024796,1099000,0,1099000,0,335781.6778,45,1,999090.9091,335781.6778,663309.2313,1099000
125,193394057733,999000,0,999000,0,306013.6463,45,1,908181.8182,306013.6463,602168.1719,999000
125,193390162394,399000,0,399000,0,111508.2563,45,1,362727.2727,111508.2563,251219.0165,399000
125,192363445908,499000,0,499000,0,159921.3613,45,1,453636.3636,159921.3613,293715.0024,499000
125,700053288553,699000,0,699000,0,258135.7721,45,1,635454.5455,258135.7721,377318.7734,699000
125,700053288928,699000,0,699000,0,254467.2713,45,1,635454.5455,254467.2713,380987.2742,699000
125,193395063054,1599000,0,1599000,0,493299.72,45,1,1453636.364,493299.72,960336.6436,1599000
125,193392312261,399000,0,399000,0,138041.325,45,1,362727.2727,138041.325,224685.9477,399000
125,192824102999,1799000,0,1799000,0,585025.8088,45,1,1635454.545,585025.8088,1050428.737,1799000
125,193394053797,1099000,0,1099000,0,331409.6375,45,1,999090.9091,331409.6375,667681.2716,1099000
125,193395059514,1149000,0,1149000,0,346121.82,45,1,1044545.455,346121.82,698423.6345,1149000
125,700053288867,699000,0,699000,0,255824.3663,45,1,635454.5455,255824.3663,379630.1792,699000
125,193395086466,1999000,0,1999000,0,705326.2313,45,1,1817272.727,705326.2313,1111946.496,1999000
125,193395013684,1299000,0,1299000,0,436267.403,45,1,1180909.091,436267.403,744641.6879,1299000
125,193395085780,2199000,0,2199000,0,701546.1638,45,1,1999090.909,701546.1638,1297544.745,2199000
125,193394051533,999000,0,999000,0,300492.1046,45,1,908181.8182,300492.1046,607689.7136,999000
125,700053804289,749000,0,749000,0,298605.1381,45,1,680909.0909,298605.1381,382303.9528,749000
125,191167687385,149000,0,149000,0,42134.35314,45,1,135454.5455,42134.35314,93320.19231,149000
125,193394093366,1099000,0,1099000,0,338394.2875,45,1,999090.9091,338394.2875,660696.6216,1099000
125,193395001506,1399000,0,1399000,0,457388.1675,45,1,1271818.182,457388.1675,814430.0143,1399000
125,192826035301,99000,0,99000,0,24340.86,45,1,90000,24340.86,65659.14,99000
125,193394087235,899000,0,899000,0,265723.6,45,1,817272.7273,265723.6,551549.1273,899000
125,193395008277,1199000,0,1199000,0,369587.5088,45,1,1090000,369587.5088,720412.4913,1199000
125,700053288935,699000,0,699000,0,255817.8455,45,1,635454.5455,255817.8455,379636.7,699000
125,193391122366,499000,0,499000,0,154689.525,45,1,453636.3636,154689.525,298946.8386,499000
125,193394068227,799000,0,799000,0,239763.5817,45,1,726363.6364,239763.5817,486600.0547,799000
125,193392112595,149000,0,149000,0,43642.5975,45,1,135454.5455,43642.5975,91811.94795,149000
125,193393074243,1149000,0,1149000,0,358590.9488,45,1,1044545.455,358590.9488,685954.5058,1149000
125,193392111802,99000,0,99000,0,30001.44375,45,1,90000,30001.44375,59998.55625,99000
125,700053288942,699000,0,699000,0,254467.2713,45,1,635454.5455,254467.2713,380987.2742,699000
125,700053288942,699000,0,699000,0,254467.2713,45,1,635454.5455,254467.2713,380987.2742,699000
125,193391172415,699000,0,699000,0,218681.0438,45,1,635454.5455,218681.0438,416773.5017,699000
125,193394057177,999000,0,999000,0,305977.7056,45,1,908181.8182,305977.7056,602204.1126,999000
125,192824355142,99000,0,99000,99000,25683.77875,45,1,0,25683.77875,-25683.77875,0
125,193391170916,499000,0,499000,0,146538.8438,45,1,453636.3636,146538.8438,307097.5199,499000
125,193391118413,549000,0,549000,0,161799.6938,45,1,499090.9091,161799.6938,337291.2153,549000
125,193394055890,1099000,0,1099000,0,331443.1913,45,1,999090.9091,331443.1913,667647.7178,1099000
125,192824355395,99000,0,99000,99000,25683.77875,45,1,0,25683.77875,-25683.77875,0
125,772259282543,749000,0,749000,0,213058.35,45,1,680909.0909,213058.35,467850.7409,749000
125,193391315737,1099000,0,1099000,0,345888.0425,45,1,999090.9091,345888.0425,653202.8666,1099000
125,193392106129,399000,0,399000,0,114456.375,45,1,362727.2727,114456.375,248270.8977,399000
125,193395011543,1449000,0,1449000,0,445788.6461,45,1,1317272.727,445788.6461,871484.0811,1449000
125,192362289886,99000,0,99000,99000,27262.8,45,1,0,27262.8,-27262.8,0
125,193395054076,1599000,0,1599000,0,505818.3,45,1,1453636.364,505818.3,947818.0636,1599000
125,192362289886,99000,0,99000,99000,27262.8,45,1,0,27262.8,-27262.8,0
125,193395043476,1299000,0,1299000,0,384420.1909,45,1,1180909.091,384420.1909,796488.9,1299000
125,193395059699,1499000,0,1499000,0,469972.98,45,1,1362727.273,469972.98,892754.2927,1499000
125,192362289886,99000,0,99000,99000,27262.8,45,1,0,27262.8,-27262.8,0
125,193394096206,999000,0,999000,0,309389.5141,45,1,908181.8182,309389.5141,598792.3041,999000
125,192824131661,1549000,0,1549000,0,498058.65,45,1,1408181.818,498058.65,910123.1682,1549000
125,193392114032,99000,0,99000,99000,25257.72375,45,1,0,25257.72375,-25257.72375,0
125,700053654488,849000,0,849000,0,465913.5007,45,1,771818.1818,465913.5007,305904.6811,849000
125,193394097296,799000,0,799000,0,253914.3648,45,1,726363.6364,253914.3648,472449.2715,799000
125,766182782164,99000,0,99000,99000,26065.06968,45,1,0,26065.06968,-26065.06968,0
125,193394085248,799000,0,799000,0,247834.05,45,1,726363.6364,247834.05,478529.5864,799000
125,766182782164,99000,0,99000,99000,26065.06968,45,1,0,26065.06968,-26065.06968,0
125,192827099586,1399000,0,1399000,0,422922.4425,45,1,1271818.182,422922.4425,848895.7393,1399000
125,766182782164,99000,0,99000,99000,26065.06968,45,1,0,26065.06968,-26065.06968,0
125,193394090419,899000,0,899000,0,315720.1525,45,1,817272.7273,315720.1525,501552.5748,899000
125,766182782164,99000,0,99000,99000,26065.06968,45,1,0,26065.06968,-26065.06968,0
125,680975168624,1099000,0,1099000,0,350515.35,45,1,999090.9091,350515.35,648575.5591,1099000
125,193395090692,1499000,0,1499000,0,454898.13,45,1,1362727.273,454898.13,907829.1427,1499000
125,700053804654,749000,0,749000,0,265115.737,45,1,680909.0909,265115.737,415793.3539,749000
125,700053334007,699000,0,699000,0,253159.0139,45,1,635454.5455,253159.0139,382295.5315,699000
125,700053334007,699000,0,699000,0,253159.0139,45,1,635454.5455,253159.0139,382295.5315,699000
125,193391171074,99000,0,99000,0,32949.5625,45,1,90000,32949.5625,57050.4375,99000
125,192824389697,99000,0,99000,0,31215.375,45,1,90000,31215.375,58784.625,99000
125,193392301203,149000,0,149000,0,36417.9375,45,1,135454.5455,36417.9375,99036.60795,149000
125,193394045327,1199000,0,1199000,0,390331.71,45,1,1090000,390331.71,699668.29,1199000
125,193391170916,499000,0,499000,0,146538.8438,45,1,453636.3636,146538.8438,307097.5199,499000
125,193395066628,1299000,0,1299000,0,394157.9475,45,1,1180909.091,394157.9475,786751.1434,1299000
125,192826083838,1999000,20,1599200,0,553759.665,45,1,1453818.182,553759.665,900058.5168,1599200
125,193395066475,1299000,0,1299000,0,394157.9475,45,1,1180909.091,394157.9475,786751.1434,1299000
125,192824389697,99000,0,99000,0,31215.375,45,1,90000,31215.375,58784.625,99000
